format_,glub,ampl,lenth,timdata,shir,dolg,vs,kurs,vz,zg,ku,depth,rej,frek,cnt,m,m_man,color_mm,m_avto,g0,a0,l0,g1,a1,l1,g2,a2,l2,g3,a3,l3,g4,a4,l4,g5,a5,l5,g6,a6,l6,g7,a7,l7,g8,a8,l8,g9,a9,l9,g10,a10,l10,g11,a11,l11,g12,a12,l12,g13,a13,l13,g14,a14,l14,g15,a15,l15,g16,a16,l16,g17,a17,l17,g18,a18,l18,g19,a19,l19
DBS,47,2250,7.1,05.09.25 07:05:15,,,,,1500,0,11,L,S,200,4,2,,,,41,160,4.5,44,78,1.4,89,78,0.8,89,78,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,1831,5,05.09.25 07:05:16,,,,,1500,0,10,L,S,200,1,1,,,,42,208,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,1212,6.8,05.09.25 07:05:17,,,,,1500,0,10,L,S,200,1,1,,,,42,208,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,1460,6.5,05.09.25 07:05:18,,,,,1500,0,10,L,S,200,3,1,,,,42,254,4.7,45,96,1.5,82,96,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,2606,4.7,05.09.25 07:05:19,,,,,1500,0,10,L,S,200,2,1,,,,42,160,3.6,82,78,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,2606,4.7,05.09.25 07:05:20,,,,,1500,0,10,L,S,200,3,2,,,,42,254,7.5,83,114,4.4,90,78,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,546,3.6,05.09.25 07:05:21,,,,,1500,0,10,L,S,200,3,1,,,,42,254,6,83,78,0.9,90,96,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,1525,7.5,05.09.25 07:05:22,,,,,1500,0,10,L,S,200,3,2,,,,42,254,6.3,81,114,2,89,78,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,1827,6,05.09.25 07:05:23,,,,,1500,0,10,L,S,200,1,1,,,,41,254,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,1778,6.3,05.09.25 07:05:24,,,,,1500,0,11,L,S,200,5,3,,,,3,78,0.8,41,208,5.6,81,78,1.7,83,78,1.8,88,96,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,2373,7.1,05.09.25 07:05:25,,,,,1500,0,11,L,S,200,4,2,,,,42,254,7.1,83,114,3.5,85,78,1.7,90,114,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,2373,7.1,05.09.25 07:05:26,,,,,1500,0,11,L,S,200,4,4,,,,43,254,6.6,84,96,2.6,87,114,5.1,90,144,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,2373,7.1,05.09.25 07:05:27,,,,,1500,0,11,L,S,200,5,3,3,red,,3,78,0.8,43,254,6.9,84,78,2.9,90,78,4.2,93,78,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,2373,7.1,05.09.25 07:05:28,,,,,1500,0,10,L,S,200,2,1,,,,42,182,4.2,45,78,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,2373,7.1,05.09.25 07:05:29,,,,,1500,0,11,L,S,200,4,4,,,,41,208,7.5,80,96,3.2,83,114,3.3,88,62,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,42,1095,4.2,05.09.25 07:05:30,,,,,1500,0,10,L,S,200,3,3,,,,41,254,5.4,79,78,0.9,80,96,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,41,1163,7.5,05.09.25 07:05:31,,,,,1500,0,11,L,S,200,4,3,,,,40,254,7.5,78,114,4.4,81,78,1.8,86,114,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,41,3098,5.4,05.09.25 07:05:33,,,,,1500,0,10,L,S,200,3,2,,,,40,254,5.4,77,114,3.6,80,78,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,40,3292,7.5,05.09.25 07:05:34,,,,,1500,0,10,L,S,200,1,1,,,,40,182,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,40,2080,5.4,05.09.25 07:05:35,,,,,1500,0,10,L,S,200,1,1,,,,40,128,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,40,824,4.1,05.09.25 07:05:36,,,,,1500,0,10,L,S,200,1,1,,,,40,182,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,40,246,3.5,05.09.25 07:05:37,,,,,1500,0,10,L,S,200,1,1,,,,39,208,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,40,932,3.8,05.09.25 07:05:38,,,,,1500,0,10,L,S,200,1,1,,,,39,144,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,40,932,3.8,05.09.25 07:05:39,,,,,1500,0,11,L,S,200,1,1,,,,41,78,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,40,932,3.8,05.09.25 07:05:40,,,,,1500,0,10,L,S,200,1,1,,,,41,144,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,41,118,3,05.09.25 07:05:41,,,,,1500,0,10,L,S,200,1,1,,,,41,114,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,41,118,3,05.09.25 07:05:42,,,,,1500,0,10,L,S,200,1,1,,,,41,128,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,41,118,3,05.09.25 07:05:43,,,,,1500,0,11,L,S,200,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,41,297,3.2,05.09.25 07:05:43,,,,,1500,0,10,L,S,200,1,1,,,,41,254,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,41,135,2.3,05.09.25 07:05:45,,,,,1500,0,11,L,S,200,1,1,,,,41,78,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,41,1694,4.2,05.09.25 07:05:45,,,,,1500,0,11,L,S,200,2,0,,,,3,62,0.8,41,114,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,41,70,1.5,05.09.25 07:05:47,,,,,1500,0,11,L,S,200,2,2,,,,41,78,0.9,42,78,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,41,254,2.9,05.09.25 07:05:48,,,,,1500,0,10,L,S,200,1,1,,,,41,114,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,41,59,0.9,05.09.25 07:05:49,,,,,1500,0,10,L,S,200,1,1,,,,41,160,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBS,41,160,3.2,05.09.25 07:05:50,,,,,1500,0,10,L,S,200,1,1,,,,40,144,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
